Year,Bering.Sea ,Gulf.of.Alaska,Southeast,Total
2005,35,35,35,105
2006,15,0,15,30
2007,75,75,75,225
2008,40,40,40,120
2009,0,31,31,62
2010,10,10,10,30
2011,0,10,10,20
2012,25,0,25,50
Total,200,201,241,642
